
ticker	crescita		valore min		valore max	volume Medio

SCON	1.7797499999988145E8	1.47000002861023	2070000.0	14982.826199071686
CODA	1.354499999999979E8	    0.0140000004321337	1736700.0	11013.228124040528
TVIX	1.3474999999776104E8	29.6299991607666	1542500.0	982725.8870967742
TOPS	1.1897999999994032E8	0.689999997615814	1276200.0	988077.4390243902
CTIC	8.002499999978507E7	    1.70000004768372	819000.0	135820.1916495551
DRYS	5.723199999981829E7	    0.980000019073486	799680.0	2577652.561247216
YRCW	4.754999999903049E7	    4.55999994277954	483525.0	285654.3903110377
SAB 	3.1879999999561325E7	1.36549997329712	319600.0	1608166.873605948
ABIO	3.1814999999858554E7	0.449999988079071	351540.0	71239.26764635027
MYND	2.6249999999546666E7	1.14900004863739	309300.0	81206.73291925466

Time taken for the last Query: 8.637 seconds, Fetched: 48 row(s)

